,Date,Traffic_flow,Game_Occurance
0,2005-06-04 22:15:00,60,1
1,2005-08-10 20:15:00,18,1
2,2005-07-16 13:20:00,38,1
3,2005-08-28 14:00:00,45,1
4,2005-07-03 22:15:00,19,1
5,2005-07-30 13:50:00,36,1
6,2005-07-29 21:10:00,30,1
7,2005-07-17 16:20:00,43,1
8,2005-08-12 21:40:00,30,1
9,2005-05-20 21:50:00,11,1
10,2005-08-24 19:20:00,36,1
11,2005-09-27 20:30:00,24,1
12,2005-09-25 15:25:00,27,1
13,2005-04-17 15:30:00,61,1
14,2005-06-03 23:00:00,17,1
15,2005-07-16 12:55:00,17,1
16,2005-04-17 13:10:00,30,1
17,2005-07-29 22:35:00,52,1
18,2005-07-27 20:40:00,19,1
19,2005-08-13 16:00:00,58,1
20,2005-09-07 22:10:00,31,1
21,2005-09-23 22:35:00,33,1
22,2005-07-03 20:20:00,20,1
23,2005-08-27 20:25:00,24,1
24,2005-07-31 15:50:00,44,1
25,2005-08-12 21:00:00,27,1
26,2005-04-30 20:50:00,29,1
27,2005-09-24 20:25:00,33,1
28,2005-07-03 20:45:00,15,1
29,2005-07-02 14:45:00,20,1
30,2005-09-23 20:50:00,21,1
31,2005-08-14 14:55:00,35,1
32,2005-07-17 14:20:00,26,1
33,2005-05-13 19:45:00,32,1
34,2005-08-24 21:55:00,28,1
35,2005-04-25 19:50:00,31,1
36,2005-07-15 20:50:00,21,1
37,2005-05-03 19:40:00,20,1
38,2005-06-11 18:50:00,22,1
39,2005-09-23 21:35:00,29,1
40,2005-06-11 19:15:00,21,1
41,2005-09-11 16:20:00,38,1
42,2005-06-01 22:10:00,41,1
43,2005-09-13 20:35:00,18,1
44,2005-08-11 20:35:00,28,1
45,2005-05-01 16:00:00,46,1
46,2005-08-24 19:30:00,29,1
47,2005-08-28 15:20:00,28,1
48,2005-05-20 22:10:00,45,1
49,2005-05-22 14:00:00,40,1
50,2005-05-21 15:50:00,43,1
51,2005-06-06 19:15:00,31,1
52,2005-06-04 19:10:00,31,1
53,2005-05-13 19:25:00,31,1
54,2005-09-24 20:40:00,29,1
55,2005-08-27 20:35:00,20,1
56,2005-08-10 21:15:00,26,1
57,2005-08-23 21:10:00,26,1
58,2005-07-01 20:50:00,13,1
59,2005-09-07 20:15:00,27,1
60,2005-05-16 22:10:00,46,1
61,2005-09-23 19:50:00,35,1
62,2005-09-06 21:40:00,14,1
63,2005-07-03 19:55:00,14,1
64,2005-07-02 14:55:00,41,1
65,2005-05-01 15:30:00,33,1
66,2005-09-28 21:10:00,30,1
67,2005-08-23 19:00:00,49,1
68,2005-09-07 18:40:00,33,1
69,2005-09-12 21:05:00,19,1
70,2005-05-30 22:45:00,7,1
71,2005-06-10 19:10:00,35,1
72,2005-08-26 19:55:00,28,1
73,2005-05-17 18:55:00,30,1
74,2005-06-08 19:45:00,25,1
75,2005-09-05 20:00:00,42,1
76,2005-05-01 15:50:00,58,1
77,2005-04-27 21:35:00,20,1
78,2005-09-14 22:25:00,28,1
79,2005-08-13 16:00:00,58,1
80,2005-07-27 20:25:00,24,1
81,2005-09-12 20:15:00,18,1
82,2005-06-02 20:30:00,14,1
83,2005-05-15 12:35:00,26,1
84,2005-07-17 15:10:00,36,1
85,2005-05-31 19:35:00,18,1
86,2005-09-27 21:55:00,50,1
87,2005-06-12 14:45:00,36,1
88,2005-09-24 18:45:00,35,1
89,2005-04-12 13:20:00,45,1
90,2005-05-18 11:45:00,22,1
91,2005-09-07 20:10:00,23,1
92,2005-08-28 13:55:00,40,1
93,2005-07-16 14:20:00,35,1
94,2005-05-02 20:40:00,18,1
95,2005-08-10 21:05:00,20,1
96,2005-06-05 15:45:00,28,1
97,2005-09-28 19:10:00,29,1
98,2005-04-26 20:25:00,14,1
99,2005-05-30 23:05:00,11,1
100,2005-05-13 21:15:00,32,1
101,2005-07-27 20:45:00,22,1
102,2005-05-16 18:45:00,39,1
103,2005-09-06 22:35:00,48,1
104,2005-07-25 19:40:00,32,1
105,2005-07-31 15:05:00,29,1
106,2005-04-17 13:35:00,28,1
107,2005-07-26 22:05:00,17,1
108,2005-09-06 22:45:00,31,1
109,2005-09-09 22:25:00,21,1
110,2005-05-21 13:15:00,25,1
111,2005-06-12 14:50:00,36,1
112,2005-07-01 20:40:00,24,1
113,2005-08-28 16:00:00,62,1
114,2005-05-15 11:55:00,20,1
115,2005-06-06 20:55:00,20,1
116,2005-04-13 21:20:00,19,1
117,2005-09-23 20:40:00,29,1
118,2005-05-01 14:55:00,19,1
119,2005-05-30 20:45:00,33,1
120,2005-07-17 16:10:00,39,1
121,2005-07-02 14:25:00,30,1
122,2005-07-29 21:45:00,22,1
123,2005-04-15 21:05:00,14,1
124,2005-04-12 15:00:00,42,1
125,2005-04-16 19:35:00,20,1
126,2005-08-23 20:20:00,25,1
127,2005-07-31 17:35:00,47,1
128,2005-09-25 15:30:00,29,1
129,2005-09-14 21:20:00,23,1
130,2005-05-22 15:25:00,29,1
131,2005-05-02 19:35:00,16,1
132,2005-05-31 20:15:00,22,1
133,2005-09-05 17:25:00,14,1
134,2005-07-15 20:45:00,28,1
135,2005-04-13 22:05:00,39,1
136,2005-09-23 21:25:00,21,1
137,2005-05-15 13:10:00,22,1
138,2005-04-27 21:40:00,34,1
139,2005-06-07 19:15:00,27,1
140,2005-08-14 14:40:00,38,1
141,2005-09-14 18:40:00,48,1
142,2005-07-27 19:05:00,37,1
143,2005-07-25 20:05:00,19,1
144,2005-09-05 19:55:00,45,1
145,2005-05-21 16:05:00,34,1
146,2005-08-13 14:20:00,26,1
147,2005-07-27 19:20:00,27,1
148,2005-08-25 19:10:00,27,1
149,2005-09-13 21:30:00,24,1
150,2005-07-17 13:00:00,24,1
151,2005-06-02 19:20:00,31,1
152,2005-07-30 15:00:00,32,1
153,2005-05-15 12:05:00,23,1
154,2005-07-30 15:55:00,39,1
155,2005-05-22 12:55:00,23,1
156,2005-06-07 19:30:00,20,1
157,2005-07-03 21:35:00,14,1
158,2005-05-22 13:50:00,30,1
159,2005-05-16 20:30:00,12,1
160,2005-05-02 19:45:00,17,1
161,2005-09-12 20:00:00,17,1
162,2005-06-12 15:05:00,34,1
163,2005-06-10 22:05:00,45,1
164,2005-04-12 16:45:00,47,1
165,2005-09-11 15:00:00,25,1
166,2005-04-27 20:20:00,21,1
167,2005-06-11 21:00:00,22,1
168,2005-09-06 19:00:00,32,1
169,2005-07-16 14:55:00,24,1
