Week_Day,Hour,Minute,Traffic_flow,Game_Ended
0,7,35,23,0
0,7,40,42,0
0,7,45,37,0
0,7,50,24,0
0,7,55,39,0
0,8,0,25,0
0,8,5,33,0
0,8,10,34,0
0,8,15,33,0
0,8,20,34,0
0,8,25,29,0
0,8,30,33,0
0,8,35,42,0
0,8,40,41,0
0,8,45,38,0
0,8,50,38,0
0,8,55,40,0
0,9,0,30,0
0,9,5,27,0
0,9,10,42,0
0,9,15,38,0
0,9,20,39,0
0,9,25,29,0
0,9,30,31,0
0,9,35,29,0
0,9,40,31,0
0,9,45,37,0
0,9,50,19,0
0,9,55,34,0
0,10,0,26,0
0,10,5,26,0
0,10,10,26,0
0,10,15,39,0
0,10,20,29,0
0,10,25,25,0
0,10,30,32,0
0,10,35,21,0
0,10,40,26,0
0,10,45,31,0
0,10,50,35,0
0,10,55,23,0
0,11,0,39,0
0,11,5,26,0
0,11,10,32,0
0,11,15,25,0
0,11,20,23,0
0,11,25,22,0
0,11,30,27,0
0,11,35,23,0
0,11,40,19,0
0,11,45,22,0
0,11,50,23,0
0,11,55,33,0
0,12,0,35,0
0,12,5,25,0
0,12,10,21,0
0,12,15,18,0
0,12,20,28,0
0,12,25,24,0
0,12,30,32,0
0,12,35,24,0
0,12,40,13,0
0,12,45,22,0
0,12,50,29,0
0,12,55,34,0
0,13,0,22,0
0,13,5,14,0
0,13,10,29,0
0,13,15,20,0
0,13,20,19,0
0,13,25,30,0
0,13,30,28,0
0,13,35,24,0
0,13,40,26,0
0,13,45,13,0
0,13,50,15,0
0,13,55,32,0
0,14,0,30,0
0,14,5,18,0
0,14,10,27,0
0,14,15,20,0
0,14,20,29,0
0,14,25,28,0
0,14,30,33,0
0,14,35,37,0
0,14,40,38,0
0,14,45,35,0
0,14,50,35,0
0,14,55,33,0
0,15,0,31,0
0,15,5,31,0
0,15,10,41,0
0,15,15,53,0
0,15,20,39,0
0,15,25,25,0
0,15,30,42,0
0,15,35,35,0
0,15,40,40,0
0,15,45,40,0
0,15,50,38,0
0,15,55,38,0
0,16,0,48,0
0,16,5,29,0
0,16,10,33,0
0,16,15,40,0
0,16,20,38,0
0,16,25,29,0
0,16,30,36,0
0,16,35,42,0
0,16,40,25,0
0,16,45,28,0
0,16,50,32,0
0,16,55,40,0
0,17,0,41,0
0,17,5,32,0
0,17,10,37,0
0,17,15,42,0
0,17,20,39,0
0,17,25,37,0
0,17,30,38,0
0,17,35,20,0
0,17,40,26,0
0,17,45,33,0
0,17,50,32,0
0,17,55,29,0
0,18,0,38,0
0,18,5,36,0
0,18,10,33,0
0,18,15,30,0
0,18,20,27,0
0,18,25,31,0
0,18,30,44,0
0,18,35,27,0
0,18,40,37,0
0,18,45,28,0
0,18,50,24,0
0,18,55,17,0
0,19,0,16,0
0,19,5,24,0
0,19,10,39,0
0,19,15,30,0
0,19,20,28,0
0,19,25,21,0
0,19,30,21,0
0,19,35,20,0
0,19,40,32,0
0,19,45,18,0
0,19,50,19,0
0,19,55,27,0
0,20,0,23,0
0,20,5,24,0
0,20,10,21,0
0,20,15,21,0
0,20,20,16,0
0,20,25,17,0
0,20,30,18,0
0,20,35,14,0
0,20,40,12,0
0,20,45,16,0
0,20,50,17,0
0,20,55,17,0
0,21,0,17,0
0,21,5,27,0
0,21,10,12,0
0,21,15,20,0
0,21,20,13,0
0,21,25,9,0
0,21,30,15,0
0,21,35,14,0
0,21,40,15,0
0,21,45,18,0
0,21,50,16,0
0,21,55,16,0
0,22,0,13,0
0,22,5,13,0
0,22,10,14,0
0,22,15,7,0
0,22,20,14,0
0,22,25,11,0
0,22,30,13,0
0,22,35,12,0
0,22,40,19,0
0,22,45,7,0
0,22,50,10,0
0,22,55,10,0
0,23,0,8,0
0,23,5,9,0
0,23,10,12,0
0,23,15,12,0
0,23,20,6,0
0,23,25,8,0
0,23,30,11,0
0,23,35,7,0
0,23,40,2,0
0,23,45,3,0
0,23,50,6,0
0,23,55,8,0
1,0,0,3,0
1,0,5,8,0
1,0,10,10,0
1,0,15,6,0
1,0,20,1,0
1,0,25,4,0
1,0,30,9,0
1,0,35,4,0
1,0,40,6,0
1,0,45,13,0
1,0,50,5,0
1,0,55,5,0
1,1,0,4,0
1,1,5,7,0
1,1,10,5,0
1,1,15,4,0
1,1,20,5,0
1,1,25,1,0
1,1,30,8,0
1,1,35,2,0
1,1,40,3,0
1,1,45,0,0
1,1,50,2,0
1,1,55,1,0
1,2,0,1,0
1,2,5,0,0
1,2,10,2,0
1,2,15,1,0
1,2,20,2,0
1,2,25,4,0
1,2,30,0,0
1,2,35,0,0
1,2,40,0,0
1,2,45,3,0
